Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,deFG%,dTOV%,dDRB%,dFT/FGA,,Arena,Attend.,Attend./G
1,Golden State Warriors*,26.6,67,15,65,17,10.1,-0.09,10.01,111.6,101.4,+10.2,98.3,0.239,0.311,0.571,,0.54,13.1,24.1,0.184,,0.47,14.3,74.5,0.217,,Oracle Arena,803436,19596
2,Los Angeles Clippers*,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,+6.9,94.7,0.303,0.322,0.565,,0.533,11.6,22.8,0.215,,0.493,13.2,75.7,0.231,,STAPLES Center,785892,19168
3,San Antonio Spurs*,29.8,55,27,58,24,6.2,0.14,6.34,108.5,102,+6.5,93.8,0.256,0.269,0.555,,0.517,13.1,23.4,0.2,,0.484,13.3,77.3,0.19,,AT&T Center,762855,18606
4,Atlanta Hawks*,27.8,60,22,56,26,5.43,-0.68,4.75,108.9,103.1,+5.8,93.9,0.259,0.321,0.563,,0.527,13.5,21.4,0.201,,0.492,14.9,73.4,0.185,,Philips Arena,713909,17412
5,Cleveland Cavaliers*,26.9,53,29,53,29,4.48,-0.4,4.08,111.1,106.3,+4.8,92.3,0.287,0.334,0.557,,0.52,13.4,26.8,0.216,,0.502,12.6,74.7,0.177,,Quicken Loans Arena,843042,20562
6,Portland Trail Blazers*,27,51,31,53,29,4.23,0.18,4.41,108.2,103.7,+4.5,94.2,0.225,0.316,0.544,,0.508,12.6,24.2,0.18,,0.476,11.3,76.2,0.182,,Moda Center,798368,19472
7,Houston Rockets*,27.6,56,26,50,32,3.44,0.38,3.82,107,103.4,+3.6,96.5,0.312,0.392,0.548,,0.512,15,26.8,0.223,,0.486,14.6,72.9,0.208,,Toyota Center,747412,18230
8,Memphis Grizzlies*,29.6,55,27,50,32,3.24,0.38,3.62,105.7,102.2,+3.5,92,0.276,0.184,0.531,,0.489,12.6,24.7,0.214,,0.492,14.5,75.3,0.183,,FedEx Forum,710502,17329
9,Toronto Raptors*,26.1,49,33,49,33,3.07,-0.62,2.45,111,107.7,+3.3,92.8,0.295,0.302,0.553,,0.508,12,25.6,0.232,,0.506,13.4,73.3,0.208,,Air Canada Centre,809824,19752
10,Chicago Bulls*,28.8,50,32,50,32,3,-0.46,2.54,107.5,104.3,+3.2,92.8,0.304,0.269,0.536,,0.489,12.9,27,0.238,,0.473,11.3,74.4,0.182,,United Center,886612,21625
